iter	Passed	Remaining
0	4	4413
1	8	4151
2	12	4290
3	16	4168
4	20	4104
5	25	4150
6	28	4078
7	33	4101
8	36	4049
9	40	4021
10	44	3988
11	47	3941
12	53	4032
13	57	4064
14	62	4124
15	66	4092
16	71	4131
17	74	4076
18	78	4048
19	82	4044
20	85	4006
21	89	3974
22	93	3952
23	97	3945
24	100	3924
25	103	3893
26	107	3870
27	110	3849
28	114	3846
29	118	3828
30	122	3821
31	125	3802
32	128	3778
33	132	3752
34	135	3729
35	138	3707
36	142	3706
37	146	3700
38	150	3702
39	154	3700
40	157	3694
41	162	3695
42	166	3696
43	169	3693
44	173	3688
45	177	3686
46	181	3682
47	185	3676
48	189	3671
49	193	3670
50	197	3667
51	201	3669
52	205	3675
53	210	3679
54	213	3675
55	218	3676
56	221	3669
57	225	3669
58	229	3662
59	233	3652
60	237	3655
61	241	3659
62	246	3661
63	250	3662
64	254	3662
65	258	3657
66	262	3648
67	265	3641
68	269	3640
69	273	3633
70	277	3628
71	280	3618
72	283	3605
73	287	3595
74	290	3582
75	293	3569
76	297	3560
77	301	3558
78	305	3556
79	308	3545
80	311	3531
81	314	3518
82	317	3509
83	320	3496
84	324	3490
85	328	3487
86	331	3479
87	335	3472
88	338	3469
89	342	3463
90	346	3458
91	349	3450
92	352	3438
93	355	3429
94	359	3420
95	362	3411
96	365	3402
97	368	3394
98	372	3386
99	375	3382
100	379	3374
101	382	3368
102	385	3361
103	388	3351
104	391	3341
105	395	3332
106	398	3324
107	401	3318
108	405	3316
109	409	3311
110	412	3304
111	415	3297
112	418	3288
113	422	3282
114	425	3275
115	428	3265
116	431	3259
117	435	3254
118	438	3247
119	441	3239
120	445	3234
121	448	3228
122	451	3221
123	455	3214
124	458	3207
125	461	3203
126	465	3197
127	469	3196
128	472	3190
129	475	3184
130	479	3178
131	482	3171
132	484	3157
133	487	3152
134	491	3147
135	494	3141
136	497	3134
137	500	3128
138	504	3123
139	507	3116
140	510	3109
141	514	3105
142	517	3100
143	520	3093
144	523	3085
145	526	3077
146	529	3070
147	532	3065
148	535	3059
149	538	3051
150	541	3045
151	544	3040
152	548	3035
153	551	3030
154	554	3025
155	558	3019
156	561	3012
157	564	3007
158	567	3002
159	570	2995
160	574	2991
161	577	2988
162	581	2983
163	584	2978
164	587	2973
165	591	2970
166	594	2964
167	597	2959
168	600	2954
169	604	2949
170	607	2943
171	610	2938
172	613	2932
173	616	2927
174	620	2923
175	623	2918
176	626	2912
177	629	2907
178	632	2901
179	635	2896
